Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,4,Afghanistan,5510,Production,1341,Apples,2020,2020,tonnes,270857,A,Official figure
QCL,Crops and livestock products,4,Afghanistan,5510,Production,115,Barley (Beer),2020,2020,tonnes,127757,A,Official figure
QCL,Crops and livestock products,4,Afghanistan,5510,Production,1330,Wines,2020,2020,tonnes,993382,A,Official figure
QCL,Crops and livestock products,4,Afghanistan,5510,Production,231,Eggs,2020,2020,tonnes,22039.1,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5513,Production,231,Eggs,2020,2020,1000 No,440782,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,112,Maize (Meal),2020,2020,tonnes,271776,A,Official figure
QCL,Crops and livestock products,4,Afghanistan,5510,Production,21111.01,Beef (beef herd),2020,2020,tonnes,115399.94,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,21121,Poultry Meat,2020,2020,tonnes,27753.95,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,21116,Lamb & Mutton,2020,2020,tonnes,46919.48,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,2910,Fish (farmed),2020,2020,tonnes,1515.99,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,2167,Olive Oil,2020,2020,tonnes,821.31,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,1329,Citrus Fruit,2020,2020,tonnes,3775,A,Official figure
QCL,Crops and livestock products,4,Afghanistan,5510,Production,1359.9,Other Fruit,2020,2020,tonnes,62544.76,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,1379.9,Nuts,2020,2020,tonnes,4300,E,Estimated value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,1709.9,Other Pulses,2020,2020,tonnes,39876.49,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,1290.9,Other Vegetables,2020,2020,tonnes,1485488.51,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,1510,Potatoes,2020,2020,tonnes,855395,A,Official figure
QCL,Crops and livestock products,4,Afghanistan,5510,Production,2211,Milk,2020,2020,tonnes,1801801.89,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,113,Rice,2020,2020,tonnes,439549,A,Official figure
QCL,Crops and livestock products,4,Afghanistan,5510,Production,1801,Beet Sugar,2020,2020,tonnes,5032,A,Official figure
QCL,Crops and livestock products,4,Afghanistan,5510,Production,1802,Cane Sugar,2020,2020,tonnes,40292,A,Official figure
QCL,Crops and livestock products,4,Afghanistan,5510,Production,21631.01,Sunflower Oil,2020,2020,tonnes,2511.67,I,Imputed value
QCL,Crops and livestock products,4,Afghanistan,5510,Production,111,Wheat & Rye (Bread),2020,2020,tonnes,5185000,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1341,Apples,2020,2020,tonnes,102167,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,115,Barley (Beer),2020,2020,tonnes,12645,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1212,Brassicas,2020,2020,tonnes,64951,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,22251.01,Cheese,2020,2020,tonnes,33333.31,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1330,Wines,2020,2020,tonnes,199069,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,231,Eggs,2020,2020,tonnes,54244.13,A,Official figure
QCL,Crops and livestock products,8,Albania,5513,Production,231,Eggs,2020,2020,1000 No,861018,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,112,Maize (Meal),2020,2020,tonnes,399125,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,21111.01,Beef (beef herd),2020,2020,tonnes,32869.95,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,21121,Poultry Meat,2020,2020,tonnes,12233.91,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,21116,Lamb & Mutton,2020,2020,tonnes,8142.59,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,21113.01,Pig Meat,2020,2020,tonnes,9002.01,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,2910,Fish (farmed),2020,2020,tonnes,4599.17,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,117,Oatmeal,2020,2020,tonnes,35579,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,2167,Olive Oil,2020,2020,tonnes,11500,T,Unofficial figure
QCL,Crops and livestock products,8,Albania,5510,Production,1253.01,Onions & Leeks,2020,2020,tonnes,49427,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1329,Citrus Fruit,2020,2020,tonnes,16,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1359.9,Other Fruit,2020,2020,tonnes,3345,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1379.9,Nuts,2020,2020,tonnes,9372,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1709.9,Other Pulses,2020,2020,tonnes,708.75,I,Imputed value
QCL,Crops and livestock products,8,Albania,5510,Production,1290.9,Other Vegetables,2020,2020,tonnes,28706,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1242,Peas,2020,2020,tonnes,5727,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1510,Potatoes,2020,2020,tonnes,254886,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,2211,Milk,2020,2020,tonnes,897348.98,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,113,Rice,2020,2020,tonnes,0,M,"Missing value (data cannot exist, not applicable)"
QCL,Crops and livestock products,8,Albania,5510,Production,2161,Soybean Oil,2020,2020,tonnes,66.97,I,Imputed value
QCL,Crops and livestock products,8,Albania,5510,Production,141,Tofu,2020,2020,tonnes,441,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1354,Wine,2020,2020,tonnes,5446,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,1801,Beet Sugar,2020,2020,tonnes,26964,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,21631.01,Sunflower Oil,2020,2020,tonnes,400,T,Unofficial figure
QCL,Crops and livestock products,8,Albania,5510,Production,1234,Tomatoes,2020,2020,tonnes,313109,A,Official figure
QCL,Crops and livestock products,8,Albania,5510,Production,111,Wheat & Rye (Bread),2020,2020,tonnes,233430,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1341,Apples,2020,2020,tonnes,566823.5,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1312,Bananas,2020,2020,tonnes,234.99,E,Estimated value
QCL,Crops and livestock products,12,Algeria,5510,Production,115,Barley (Beer),2020,2020,tonnes,1213137,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1212,Brassicas,2020,2020,tonnes,124204.1,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1330,Wines,2020,2020,tonnes,554201.1,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,142,Groundnuts,2020,2020,tonnes,12354.6,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,231,Eggs,2020,2020,tonnes,308456.45,T,Unofficial figure
QCL,Crops and livestock products,12,Algeria,5513,Production,231,Eggs,2020,2020,1000 No,6169129,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,112,Maize (Meal),2020,2020,tonnes,3221,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,21111.01,Beef (beef herd),2020,2020,tonnes,144246,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,21121,Poultry Meat,2020,2020,tonnes,257787.09,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5510,Production,21116,Lamb & Mutton,2020,2020,tonnes,18459.59,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5510,Production,21113.01,Pig Meat,2020,2020,tonnes,106.23,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5510,Production,2910,Fish (farmed),2020,2020,tonnes,5377,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,117,Oatmeal,2020,2020,tonnes,69385,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,2167,Olive Oil,2020,2020,tonnes,113600,T,Unofficial figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1253.01,Onions & Leeks,2020,2020,tonnes,346.47,E,Estimated value
QCL,Crops and livestock products,12,Algeria,5510,Production,1329,Citrus Fruit,2020,2020,tonnes,584.56,E,Estimated value
QCL,Crops and livestock products,12,Algeria,5510,Production,1359.9,Other Fruit,2020,2020,tonnes,133801.3,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1709.9,Other Pulses,2020,2020,tonnes,115,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1290.9,Other Vegetables,2020,2020,tonnes,1458964.6,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1242,Peas,2020,2020,tonnes,209409.4,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1510,Potatoes,2020,2020,tonnes,4659482,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,21641.01,Rapeseed Oil,2020,2020,tonnes,7690.64,I,Imputed value
QCL,Crops and livestock products,12,Algeria,5510,Production,2211,Milk,2020,2020,tonnes,2414552,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,113,Rice,2020,2020,tonnes,314.75,E,Estimated value
QCL,Crops and livestock products,12,Algeria,5510,Production,2161,Soybean Oil,2020,2020,tonnes,101700,T,Unofficial figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1354,Wine,2020,2020,tonnes,0,M,"Missing value (data cannot exist, not applicable)"
QCL,Crops and livestock products,12,Algeria,5510,Production,1801,Beet Sugar,2020,2020,tonnes,0,M,"Missing value (data cannot exist, not applicable)"
QCL,Crops and livestock products,12,Algeria,5510,Production,21631.01,Sunflower Oil,2020,2020,tonnes,2100,T,Unofficial figure
QCL,Crops and livestock products,12,Algeria,5510,Production,1234,Tomatoes,2020,2020,tonnes,1635616.3,A,Official figure
QCL,Crops and livestock products,12,Algeria,5510,Production,111,Wheat & Rye (Bread),2020,2020,tonnes,3106754,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1312,Bananas,2020,2020,tonnes,4204538,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1212,Brassicas,2020,2020,tonnes,338952.93,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1372,Soymilk,2020,2020,tonnes,2074.55,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1520.01,Cassava,2020,2020,tonnes,9592870,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,22251.01,Cheese,2020,2020,tonnes,1457.29,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,1640,Dark Chocolate,2020,2020,tonnes,442.41,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1610,Coffee,2020,2020,tonnes,12630.45,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,142,Groundnuts,2020,2020,tonnes,223976,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,231,Eggs,2020,2020,tonnes,5150,E,Estimated value
QCL,Crops and livestock products,24,Angola,5513,Production,231,Eggs,2020,2020,1000 No,97170,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,112,Maize (Meal),2020,2020,tonnes,2972177,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,21111.01,Beef (beef herd),2020,2020,tonnes,108109.32,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,21121,Poultry Meat,2020,2020,tonnes,52309.13,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,21116,Lamb & Mutton,2020,2020,tonnes,20148.96,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,21113.01,Pig Meat,2020,2020,tonnes,126963.34,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,2910,Fish (farmed),2020,2020,tonnes,23399.45,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,1253.01,Onions & Leeks,2020,2020,tonnes,27436.35,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,1329,Citrus Fruit,2020,2020,tonnes,436086,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1359.9,Other Fruit,2020,2020,tonnes,39734.85,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,1290.9,Other Vegetables,2020,2020,tonnes,375329.69,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,2165,Palm Oil,2020,2020,tonnes,57000,T,Unofficial figure
QCL,Crops and livestock products,24,Angola,5510,Production,1510,Potatoes,2020,2020,tonnes,480560,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,2211,Milk,2020,2020,tonnes,220219.08,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,113,Rice,2020,2020,tonnes,10567,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,141,Tofu,2020,2020,tonnes,37961,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1802,Cane Sugar,2020,2020,tonnes,865000,E,Estimated value
QCL,Crops and livestock products,24,Angola,5510,Production,21631.01,Sunflower Oil,2020,2020,tonnes,3760.21,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,1530,Root Vegetables,2020,2020,tonnes,1749832,A,Official figure
QCL,Crops and livestock products,24,Angola,5510,Production,1234,Tomatoes,2020,2020,tonnes,16707.17,I,Imputed value
QCL,Crops and livestock products,24,Angola,5510,Production,111,Wheat & Rye (Bread),2020,2020,tonnes,2938.21,E,Estimated value
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,1312,Bananas,2020,2020,tonnes,4.7,A,Official figure
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,1212,Brassicas,2020,2020,tonnes,1.8,A,Official figure
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,1520.01,Cassava,2020,2020,tonnes,51.8,A,Official figure
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,231,Eggs,2020,2020,tonnes,642.5,A,Official figure
QCL,Crops and livestock products,28,Antigua and Barbuda,5513,Production,231,Eggs,2020,2020,1000 No,12850,A,Official figure
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,112,Maize (Meal),2020,2020,tonnes,11.4,A,Official figure
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,21111.01,Beef (beef herd),2020,2020,tonnes,66.4,A,Official figure
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,21121,Poultry Meat,2020,2020,tonnes,15.6,I,Imputed value
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,21116,Lamb & Mutton,2020,2020,tonnes,3.1,A,Official figure
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,21113.01,Pig Meat,2020,2020,tonnes,67.9,A,Official figure
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,1290.9,Other Vegetables,2020,2020,tonnes,195.74,I,Imputed value
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,2211,Milk,2020,2020,tonnes,3057.41,E,Estimated value
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,1802,Cane Sugar,2020,2020,tonnes,0,M,"Missing value (data cannot exist, not applicable)"
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,1530,Root Vegetables,2020,2020,tonnes,69.8,A,Official figure
QCL,Crops and livestock products,28,Antigua and Barbuda,5510,Production,1234,Tomatoes,2020,2020,tonnes,34.7,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,1341,Apples,2020,2020,tonnes,587000,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,1312,Bananas,2020,2020,tonnes,176417.73,I,Imputed value
QCL,Crops and livestock products,32,Argentina,5510,Production,115,Barley (Beer),2020,2020,tonnes,4483062,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,1520.01,Cassava,2020,2020,tonnes,197761.75,I,Imputed value
QCL,Crops and livestock products,32,Argentina,5510,Production,22251.01,Cheese,2020,2020,tonnes,420650,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,1330,Wines,2020,2020,tonnes,2055746,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,142,Groundnuts,2020,2020,tonnes,1285431,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,231,Eggs,2020,2020,tonnes,873000,A,Official figure
QCL,Crops and livestock products,32,Argentina,5513,Production,231,Eggs,2020,2020,1000 No,14862000,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,112,Maize (Meal),2020,2020,tonnes,58395811,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,21111.01,Beef (beef herd),2020,2020,tonnes,3168472,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,21121,Poultry Meat,2020,2020,tonnes,2219238.25,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,21116,Lamb & Mutton,2020,2020,tonnes,7326.34,I,Imputed value
QCL,Crops and livestock products,32,Argentina,5510,Production,21113.01,Pig Meat,2020,2020,tonnes,655381.88,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,2910,Fish (farmed),2020,2020,tonnes,72441.47,I,Imputed value
QCL,Crops and livestock products,32,Argentina,5510,Production,117,Oatmeal,2020,2020,tonnes,600105,A,Official figure
QCL,Crops and livestock products,32,Argentina,5510,Production,2167,Olive Oil,2020,2020,tonnes,30000,T,Unofficial figure
